شهر مبدا,شهر مقصد,پیکان (تومان),مزدا (تومان),نیسان (تومان)
لنگرود,امیربکنده,13500000,13700000,13900000
لنگرود,پیربازار,13500000,13700000,13900000
لنگرود,جمعه بازار رشت,14000000,14200000,14400000
لنگرود,حسن رود انزلی,14000000,14200000,14400000
لنگرود,شفت,15000000,15200000,15400000
لنگرود,امام زاده هاشم,15000000,15200000,15400000
لنگرود,انزلی,16000000,16200000,16400000
لنگرود,فومن,16000000,16200000,16400000
لنگرود,صومعه سرا,16500000,16700000,16900000
لنگرود,گرامدشت,16500000,16700000,16900000
لنگرود,خرم آباد تنکابن,16500000,16700000,16900000
لنگرود,زیار,17000000,17200000,17400000
لنگرود,نشتارود,17500000,17700000,17900000
لنگرود,ضیابر,18000000,18200000,18400000
لنگرود,عباس آباد,18000000,18200000,18400000
لنگرود,گوراب زرمیخ,18000000,18200000,18400000
لنگرود,رستم آباد,18000000,18200000,18400000
